,CPIAUCSL,WTISPLC,PCOPPUSDM,GDP,Date
0,217.923,76.82,7302.66666666667,15141.607,2010-08-01
1,218.275,75.31,7729.59090909091,15141.607,2010-09-01
2,219.035,81.9,8289.7619047619,15309.474,2010-10-01
3,219.59,84.14,8458.42045454545,15309.474,2010-11-01
4,220.472,89.04,9152.85714285714,15309.474,2010-12-01
5,221.187,89.42,9533.2,15351.448,2011-01-01
6,221.898,89.58,9880.9375,15351.448,2011-02-01
7,223.046,102.94,9503.35869565217,15351.448,2011-03-01
8,224.093,110.04,9482.75,15557.539,2011-04-01
9,224.806,101.33,8931.675,15557.539,2011-05-01
10,224.806,96.29,9066.85227272727,15557.539,2011-06-01
11,225.395,97.19,9650.46428571429,15647.68,2011-07-01
12,226.106,86.33,8997.98863636364,15647.68,2011-08-01
13,226.597,85.61,8300.13636363636,15647.68,2011-09-01
14,226.75,86.41,7394.19047619048,15842.259,2011-10-01
15,227.169,97.21,7581.02272727273,15842.259,2011-11-01
16,227.223,98.57,7558.875,15842.259,2011-12-01
17,227.842,100.24,8061.91666666667,16068.805,2012-01-01
18,228.329,102.25,8441.4880952381,16068.805,2012-02-01
19,228.807,106.19,8470.78409090909,16068.805,2012-03-01
20,229.187,103.33,8285.52631578947,16207.115,2012-04-01
21,228.713,94.7,7896.90909090909,16207.115,2012-05-01
22,228.524,82.41,7428.28947368421,16207.115,2012-06-01
23,228.59,87.93,7584.26136363636,16319.541,2012-07-01
24,229.918,94.16,7510.43181818182,16319.541,2012-08-01
25,231.015,94.72,8087.7425,16319.541,2012-09-01
26,231.638,89.57,8062.03260869565,16420.419,2012-10-01
27,231.249,86.66,7711.22727272727,16420.419,2012-11-01
28,231.221,88.25,7966.48684210526,16420.419,2012-12-01
29,231.679,94.69,8053.73863636364,16648.189,2013-01-01
30,232.937,95.32,8060.925,16648.189,2013-02-01
31,232.282,93.05,7652.375,16648.189,2013-03-01
32,231.797,92.07,7221.1619047619,16728.687,2013-04-01
33,231.893,94.8,7248.71428571429,16728.687,2013-05-01
34,232.445,95.8,7000.2375,16728.687,2013-06-01
35,232.9,104.61,6906.64130434783,16953.838,2013-07-01
36,233.456,106.57,7186.25,16953.838,2013-08-01
37,233.544,106.29,7159.26904761905,16953.838,2013-09-01
38,233.669,100.54,7203.02173913043,17192.019,2013-10-01
39,234.1,93.86,7070.65476190476,17192.019,2013-11-01
40,234.719,97.63,7214.9,17192.019,2013-12-01
41,235.288,94.62,7291.46590909091,17197.738,2014-01-01
42,235.547,100.82,7149.2125,17197.738,2014-02-01
43,236.028,100.8,6650.03571428571,17197.738,2014-03-01
44,236.468,102.07,6673.5625,17518.508,2014-04-01
45,236.918,102.18,6891.125,17518.508,2014-05-01
46,237.231,105.79,6821.14285714286,17518.508,2014-06-01
