Date,Stock Price,TTM Sales per Share,Price to Sales Ratio,TTM Net EPS,PE Ratio,TTM Net Income (ROA),Total Assets,Return on Assets,TTM Net Income (ROI),LT Investments & Debt,Return on Investment,TTM Net Income (ROE),Shareholder's Equity,Return on Equity,Current Assets - Inventory,Current Liabilities,Quick Ratio,Current Assets,Current Ratio,Long Term Debt,Debt to Equity Ratio,Total Liabilities,Total Revenue
2010-06-01,7.56,2.22,3.41,0.44,17.17,12.24,64.73,21.93,16.62,140.31,0.0,12.24,43.111,32.66,35.09,15.61,2.25,36.03,2.31,21.61,0.5,21614.0,15700.0
2010-07-01,7.56,2.22,3.41,0.44,17.17,12.24,64.73,21.93,16.62,140.31,0.0,12.24,43.111,32.66,35.09,15.61,2.25,36.03,2.31,21.61,0.5,21614.0,15700.0
2010-08-01,7.56,2.22,3.41,0.44,17.17,12.24,64.73,21.93,16.62,140.31,0.0,12.24,43.111,32.66,35.09,15.61,2.25,36.03,2.31,21.61,0.5,21614.0,15700.0
2010-09-01,8.53,2.52,3.38,0.54,15.76,14.01,75.18,22.34,18.39,140.31,0.0,14.01,47.791,33.76,40.63,20.72,1.96,41.68,2.01,27.39,0.57,27392.0,20343.0
2010-10-01,8.53,2.52,3.38,0.54,15.76,14.01,75.18,22.34,18.39,140.31,0.0,14.01,47.791,33.76,40.63,20.72,1.96,41.68,2.01,27.39,0.57,27392.0,20343.0
2010-11-01,8.53,2.52,3.38,0.54,15.76,14.01,75.18,22.34,18.39,140.31,0.0,14.01,47.791,33.76,40.63,20.72,1.96,41.68,2.01,27.39,0.57,27392.0,20343.0
2010-12-01,9.69,2.94,3.3,0.64,15.16,16.64,86.74,23.46,21.49,140.31,0.0,16.64,54.666,35.99,43.04,23.8,1.81,43.93,1.85,32.08,0.59,32076.0,26741.0
2011-01-01,9.69,2.94,3.3,0.64,15.16,16.64,86.74,23.46,21.49,140.31,0.0,16.64,54.666,35.99,43.04,23.8,1.81,43.93,1.85,32.08,0.59,32076.0,26741.0
2011-02-01,9.69,2.94,3.3,0.64,15.16,16.64,86.74,23.46,21.49,140.31,0.0,16.64,54.666,35.99,43.04,23.8,1.81,43.93,1.85,32.08,0.59,32076.0,26741.0
2011-03-01,10.47,3.36,3.12,0.75,13.98,19.55,94.9,24.32,25.38,140.31,0.0,19.55,61.477,37.77,46.07,24.33,1.89,47.0,1.93,33.43,0.54,33427.0,24667.0
